serial,location,stream_type,n_observations,best_curve,best_r2,mean_fullness_at_collection,median_elapsed_hours,pct_wasted_trips,fill_pct_at_24h,fill_pct_at_48h,fill_pct_at_72h,coeff_L,coeff_k,coeff_t0,coeff_a,coeff_b
1503614,W08 University Drive,Compostables,79,sigmoid,0.3614,50.1,73.4,36.7,19.7,39.2,56.3,69.590629,0.049326,42.799076,,
1503616,W18 Campanile Way West Entrance,Compostables,55,sigmoid,0.4844,42.2,95.7,45.5,0.0,0.0,59.3,59.350568,2.0,67.88213,,
1503621,E19 South Path Drive,Waste,77,sigmoid,0.2224,41.0,73.3,55.8,16.0,28.3,42.0,65.074041,0.035837,55.241315,,
1503623,E17 Tan/Campbell,Waste,54,sigmoid,0.2738,31.5,49.0,63.0,14.1,21.9,31.0,59.264554,0.026037,68.562946,,
1503624,E22 May Morrison Hall,Waste,110,sigmoid,0.384,52.9,57.1,34.5,23.3,55.1,66.4,68.451995,0.086571,31.670644,,
1503625,E14 Physics,Waste,70,sigmoid,0.1504,44.6,70.5,44.3,27.5,38.7,47.9,61.282902,0.030918,30.633855,,
1503626,W04 Morgan Hall,Waste,33,sigmoid,0.3446,13.9,73.4,81.8,1.0,2.4,5.2,54.00405,0.034987,136.137824,,
1503628,E28 Library/Campanile Way,Waste,71,sigmoid,0.504,31.8,48.7,66.2,8.3,18.8,34.4,63.630989,0.042937,68.188913,,
1503632,W08 University Drive,Waste,106,sigmoid,0.4252,49.4,69.9,36.8,19.3,39.5,58.0,73.049719,0.049562,44.701764,,
1503633,W18 Campanile Way West Entrance,Waste,110,sigmoid,0.3993,48.5,71.9,39.1,17.9,40.9,59.1,68.633389,0.059777,41.472305,,
1503634,E19 South Path Drive,Bottles/Cans,20,sigmoid,0.1125,27.0,119.6,60.0,6.0,8.9,12.9,120.0,0.017243,194.570952,,
1503636,E28 Library/Campanile Way,Compostables,37,sigmoid,0.1236,31.9,95.6,70.3,16.2,20.1,24.8,120.0,0.010634,198.598024,,
1503637,E22 May Morrison Hall,Compostables,61,sigmoid,0.4425,49.5,75.1,39.3,9.7,46.6,59.1,60.054732,0.120596,37.675548,,
1503638,W08 University Drive,Bottles/Cans,29,sigmoid,0.1818,45.5,115.4,41.4,16.5,26.9,38.6,64.852785,0.030367,59.391534,,
1503639,E22 May Morrison Hall,Bottles/Cans,24,sigmoid,0.0138,63.3,100.5,20.8,57.3,59.2,61.1,120.0,0.002683,58.170914,,
1503640,W04 Morgan Hall,Bottles/Cans,13,sigmoid,0.1362,7.7,74.0,92.3,0.0,0.0,0.0,19.934202,1.999906,113.481715,,
1503641,E19 South Path Drive,Compostables,35,sigmoid,0.064,30.9,119.8,71.4,17.9,21.1,24.7,98.207477,0.008522,200.0,,
1503642,E14 Physics,Bottles/Cans,10,sigmoid,0.9695,66.0,141.1,20.0,0.0,0.0,0.0,82.857143,1.473946,94.472704,,
1503644,E17 Tan/Campbell,Compostables,36,sigmoid,0.2174,22.2,89.3,97.2,12.8,25.2,25.2,25.227976,2.0,23.987914,,
1503646,E17 Tan/Campbell,Bottles/Cans,11,sigmoid,0.5416,21.8,116.5,72.7,0.0,0.0,0.0,80.274787,2.0,162.5793,,
1503647,E28 Library/Campanile Way,Bottles/Cans,14,sigmoid,0.0003,20.0,122.5,71.4,18.9,19.2,19.5,42.422665,0.001243,200.0,,
1503649,W04 Morgan Hall,Compostables,24,sigmoid,0.3187,12.5,103.6,87.5,0.0,0.0,0.0,46.553875,0.226555,145.133215,,
1503651,E14 Physics,Compostables,44,saturating,0.0496,43.2,111.6,77.3,34.0,41.9,43.7,,,,44.244061,0.060821
1514000,Chiet Hall 2,Compostables,30,sigmoid,0.1776,21.3,95.6,76.7,7.0,11.3,17.1,40.087276,0.026195,83.489056,,
1514001,U16 Durant Hall,Compostables,46,saturating,0.4316,44.3,97.1,45.7,14.2,26.3,36.8,,,,100.273332,0.006346
1514002,W13 Recreational Sport Facility (Compost),Compostables,35,sigmoid,0.2555,42.3,95.9,42.9,19.5,25.9,33.7,110.81874,0.01493,127.374518,,
1514003,W11 Moffitt Library @ Press,Compostables,85,sigmoid,0.0533,59.1,71.2,24.7,52.2,55.5,58.8,97.784165,0.005816,1.000001,,
1514005,U25 Anthropology and Art Practice (Compost),Compostables,54,sigmoid,0.2534,51.1,87.5,29.6,15.5,35.5,52.7,62.92011,0.057499,43.455462,,
1514007,E21 Cafe Think,Compostables,71,power_law,0.04,53.5,53.2,32.4,47.1,52.2,55.4,,,,29.556049,0.146722
1514008,001 Berkeley Way (Offsite),Compostables,3,insufficient_data,,60.0,119.4,0.0,,,,,,,,
1514009,E24 Chiet Hall,Compostables,75,sigmoid,0.0558,48.3,67.8,50.7,41.8,45.0,48.3,120.0,0.004873,152.786679,,
1514010,W05 Brown’s Cafe,Compostables,117,power_law,-0.0151,73.0,29.9,12.0,68.8,73.8,76.9,,,,50.0,0.100582
1514011,Cheit Hall 2,Bottles/Cans,5,insufficient_data,,16.0,99.0,80.0,,,,,,,,
1514013,W11 Moffitt Library @ Press,Bottles/Cans,42,sigmoid,0.2802,70.5,95.4,16.7,43.7,58.6,70.6,88.548253,0.029082,24.844827,,
1514014,U16 Durant Hall,Bottles/Cans,19,sigmoid,0.1219,37.9,110.8,52.6,42.4,42.4,42.4,42.35257,1.999995,17.379827,,
1514015,E24 Chiet Hall,Bottles/Cans,28,sigmoid,0.059,42.9,119.5,46.4,15.8,30.5,41.1,47.568448,0.053103,37.090149,,
1514016,W05 Brown’s Cafe,Bottles/Cans,32,sigmoid,0.1653,38.8,73.7,53.1,17.1,24.1,33.0,120.0,0.017115,128.740359,,
1514017,W13 Recreational Sport Facility (B/C),Bottles/Cans,36,saturating,0.3204,60.0,97.3,27.8,23.7,41.6,55.2,,,,97.123168,0.01166
1514019,U25 Anthropology and Art Practice (B/C),Bottles/Cans,33,sigmoid,0.2246,64.2,96.9,18.2,36.8,69.0,69.6,69.587148,0.191674,23.396641,,
1514020,E21 Cafe Think,Bottles/Cans,19,saturating,0.002,40.0,95.9,47.4,37.1,40.1,40.3,,,,40.331863,0.105015
1514021,001 Berkeley Way (Offsite),Bottles/Cans,13,sigmoid,0.0173,49.2,51.7,38.5,44.5,47.2,49.9,120.0,0.003901,159.274488,,
1514022,Chiet Hall 2,Waste,60,sigmoid,0.1077,41.0,87.8,56.7,25.1,34.9,42.8,53.0523,0.031964,27.433865,,
1514023,U25 Anthropology and Art Practice (Landfill),Waste,111,sigmoid,0.2099,60.5,64.2,21.6,42.2,61.5,68.7,71.091436,0.061915,17.914098,,
1514026,W11 Moffitt Library @ Press,Waste,152,sigmoid,-0.0045,66.3,46.2,23.7,62.2,64.5,66.8,120.0,0.003224,1.0,,
1514028,E24 Chiet Hall,Waste,91,sigmoid,0.1216,53.2,69.9,39.6,50.1,56.1,56.1,56.080397,0.392747,18.572722,,
1514029,E21 Cafe Think,Waste,86,sigmoid,0.1177,55.3,69.4,33.7,38.8,51.9,59.6,65.638517,0.040012,14.72984,,
1514030,U16 Durant Hall,Waste,70,sigmoid,0.5742,46.3,73.4,44.3,6.7,40.0,59.6,61.677963,0.113604,42.601456,,
1514032,W05 Brown’s Cafe,Waste,86,sigmoid,0.1245,66.5,70.1,22.1,52.5,60.8,68.0,88.947698,0.016987,2.651181,,
1515666,E16 Campanile,Waste,101,sigmoid,0.2136,53.9,72.9,29.7,32.3,49.8,60.4,67.394051,0.046672,25.739654,,
1515667,U18 Dwinelle Walkway,Waste,120,sigmoid,0.2303,59.3,50.5,28.3,43.0,65.3,68.5,68.842852,0.100426,18.92984,,
1515668,E25 Cronk Gate,Waste,70,sigmoid,0.272,38.3,76.7,54.3,11.8,24.4,39.3,58.812988,0.043343,55.875313,,
1515669,W03 Li Ka Shing Hall,Waste,29,sigmoid,0.2185,47.6,119.3,34.5,31.2,35.7,40.6,120.0,0.007815,157.774564,,
1515670,W01 Lower Crescent,Waste,112,sigmoid,0.3884,54.3,73.0,33.0,21.4,41.7,60.1,76.125024,0.047093,43.942602,,
1515671,"U24 Rice & Bones, Wurster",Waste,92,sigmoid,0.3041,52.8,71.4,33.7,24.1,51.0,62.3,65.011617,0.075958,30.949881,,
1515672,U14 Sproul Hall Steps,Waste,163,sigmoid,0.1605,58.2,40.2,27.6,51.1,65.4,67.1,67.317711,0.098276,12.289696,,
1515673,E04 North Gate Entrance,Waste,135,sigmoid,0.2728,63.1,51.6,22.2,45.5,69.5,69.6,69.560054,0.253686,21.47613,,
1515674,W02 Crescent,Waste,88,sigmoid,0.2943,54.8,48.8,38.6,32.4,52.6,66.5,76.588492,0.045693,30.8228,,
1515675,U27 Anthony Hall,Waste,27,sigmoid,0.3537,50.4,106.6,33.3,22.0,32.7,43.7,67.896226,0.027654,50.633387,,
1515676,E08 Cory Hall,Waste,29,sigmoid,0.2422,45.5,120.6,41.4,6.8,49.2,49.2,49.222539,0.364555,29.023874,,
1515677,U06 Bear's Lair,Waste,116,sigmoid,0.2729,36.6,46.6,61.2,23.6,41.0,49.6,53.083945,0.060033,27.667751,,
1515678,U20 Sproul Hall UCPD,Waste,102,sigmoid,0.5499,46.1,68.2,39.2,10.1,48.9,61.0,61.864338,0.123216,37.264005,,
1515679,U04 Zellerbach,Waste,111,sigmoid,0.3654,42.0,47.6,52.3,24.0,48.7,59.3,62.052211,0.073221,30.271157,,
1515680,U10 GoldenBear Walkway,Waste,74,saturating,0.1683,63.0,43.8,28.4,55.0,69.3,73.0,,,,74.344214,0.056071
1515681,U02 Spieker Plaza Center,Waste,98,sigmoid,0.4085,42.7,68.9,48.0,16.0,34.7,51.2,62.438151,0.053789,43.837487,,
1515682,E08 Cory Hall,Compostables,18,sigmoid,0.2145,12.2,118.1,88.9,0.6,1.2,2.4,117.304764,0.030127,200.0,,
1515683,E23 Glade Path,Compostables,69,sigmoid,0.3294,39.7,73.1,59.4,12.1,35.3,49.5,53.325277,0.079122,39.47562,,
1515684,E13 Stanley Hall,Compostables,38,saturating,0.2873,31.1,83.2,71.1,11.1,20.7,28.9,,,,78.663183,0.00635
1515685,U13 Bancroft Way,Compostables,127,sigmoid,0.3234,57.2,48.2,38.6,36.6,65.1,71.9,72.866764,0.088581,23.922128,,
1515686,E05 V&A Cafe/Etcheverry,Compostables,57,sigmoid,0.2136,36.8,75.6,59.6,11.0,37.7,43.5,43.935021,0.120131,33.086784,,
1515687,U20 Sproul Hall UCPD,Compostables,49,sigmoid,0.4535,42.4,95.8,51.0,14.7,24.1,35.8,71.988436,0.028051,72.482136,,
1515688,W01 Lower Crescent,Compostables,64,sigmoid,0.4267,38.8,82.1,53.1,12.9,21.7,33.1,74.302218,0.027965,79.733548,,
1515689,U06 Bear's Lair,Compostables,102,sigmoid,0.2337,34.7,35.8,65.7,27.5,45.7,46.8,46.811814,0.138771,21.466868,,
1515690,W02 Crescent,Compostables,64,sigmoid,0.3468,49.7,64.4,43.8,17.0,40.5,61.8,74.939091,0.057752,45.177616,,
1515691,E25 Cronk Gate,Compostables,53,sigmoid,0.1146,26.0,75.6,73.6,14.9,18.4,22.6,109.380871,0.010499,200.0,,
1515692,U15 Sather Gate,Waste,173,sigmoid,0.2338,53.6,40.9,34.1,42.2,63.4,64.9,65.028103,0.126634,19.123545,,
1515693,U12 Upper MLK Union,Waste,168,sigmoid,0.0718,65.0,45.6,29.2,58.4,65.1,71.4,103.490698,0.011274,1.0,,
1515694,U11 Golden Bear NE,Waste,311,saturating,-0.0334,70.2,17.3,19.3,70.3,70.3,70.3,,,,70.285908,2.0
1515695,E15 Bancroft Library,Waste,72,sigmoid,0.4512,35.8,57.9,55.6,10.0,50.4,50.4,50.4205,1.022226,25.369154,,
